Security,GICS Sub-Industry,Headquarters Location,hiring_software_engineers
3M,Industrial Conglomerates,"Saint Paul, Minnesota",False
A. O. Smith,Building Products,"Milwaukee, Wisconsin",False
Abbott,Health Care Equipment,"North Chicago, Illinois",False
AbbVie,Biotechnology,"North Chicago, Illinois",False
Advanced Micro Devices,Semiconductors,"Santa Clara, California",False
AES Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia",False
Aflac,Life & Health Insurance,"Columbus, Georgia",False
Agilent Technologies,Life Sciences Tools & Services,"Santa Clara, California",False
Air Products and Chemicals,Industrial Gases,"Allentown, Pennsylvania",False
Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California",False
Albemarle Corporation,Specialty Chemicals,"Charlotte, North Carolina",False
Align Technology,Health Care Supplies,"Tempe, Arizona",False
Allegion,Building Products,"Dublin, Ireland",False
Alliant Energy,Electric Utilities,"Madison, Wisconsin",False
Allstate,Property & Casualty Insurance,"Northbrook, Illinois",False
Alphabet Inc. (Class A),Interactive Media & Services,"Mountain View, California",False
Alphabet Inc. (Class C),Interactive Media & Services,"Mountain View, California",False
Altria,Tobacco,"Richmond, Virginia",False
Amazon,Broadline Retail,"Seattle, Washington",False
Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",False
Ameren,Multi-Utilities,"St. Louis, Missouri",False
American Airlines Group,Passenger Airlines,"Fort Worth, Texas",False
American Electric Power,Electric Utilities,"Columbus, Ohio",False
American Express,Consumer Finance,"New York City, New York",False
American International Group,Multi-line Insurance,"New York City, New York",False
American Water Works,Water Utilities,"Camden, New Jersey",False
Ameriprise Financial,Asset Management & Custody Banks,"Minneapolis, Minnesota",False
Ametek,Electrical Components & Equipment,"Berwyn, Pennsylvania",False
Amgen,Biotechnology,"Thousand Oaks, California",False
Amphenol,Electronic Components,"Wallingford, Connecticut",False
Analog Devices,Semiconductors,"Wilmington, Massachusetts",False
Aon,Insurance Brokers,"London, UK",False
APA Corporation,Oil & Gas Exploration & Production,"Houston, Texas",False
Applied Materials,Semiconductor Materials & Equipment,"Santa Clara, California",False
Aptiv,Automotive Parts & Equipment,"Dublin, Ireland",False
Arch Capital Group,Property & Casualty Insurance,"Hamilton, Bermuda",False
Archer-Daniels-Midland,Agricultural Products & Services,"Chicago, Illinois",False
Arista Networks,Communications Equipment,"Santa Clara, California",False
Arthur J. Gallagher & Co.,Insurance Brokers,"Rolling Meadows, Illinois",False
Assurant,Multi-line Insurance,"Atlanta, Georgia",False
AT&T,Integrated Telecommunication Services,"Dallas, Texas",False
Atmos Energy,Gas Utilities,"Dallas, Texas",False
Automatic Data Processing,Human Resource & Employment Services,"Roseland, New Jersey",False
AutoZone,Automotive Retail,"Memphis, Tennessee",False
Avery Dennison,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",False
Axon Enterprise,Aerospace & Defense,"Scottsdale, Arizona",False
Baker Hughes,Oil & Gas Equipment & Services,"Houston, Texas",False
Ball Corporation,"Metal, Glass & Plastic Containers","Broomfield, Colorado",False
Bank of America,Diversified Banks,"Charlotte, North Carolina",False
Bank of New York Mellon,Asset Management & Custody Banks,"New York City, New York",False
"Bath & Body Works, Inc.",Other Specialty Retail,"Columbus, Ohio",False
Baxter International,Health Care Equipment,"Deerfield, Illinois",False
Becton Dickinson,Health Care Equipment,"Franklin Lakes, New Jersey",False
Berkshire Hathaway,Multi-Sector Holdings,"Omaha, Nebraska",False
Best Buy,Computer & Electronics Retail,"Richfield, Minnesota",False
Bio-Rad,Life Sciences Tools & Services,"Hercules, California",False
Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota",False
Biogen,Biotechnology,"Cambridge, Massachusetts",False
BlackRock,Asset Management & Custody Banks,"New York City, New York",False
Blackstone,Asset Management & Custody Banks,"New York City, New York",False
Boeing,Aerospace & Defense,"Arlington, Virginia",False
Booking Holdings,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",False
BorgWarner,Automotive Parts & Equipment,"Auburn Hills, Michigan",False
Boston Scientific,Health Care Equipment,"Marlborough, Massachusetts",False
Bristol Myers Squibb,Pharmaceuticals,"New York City, New York",False
Broadcom Inc.,Semiconductors,"Palo Alto, California",False
Broadridge Financial Solutions,Data Processing & Outsourced Services,"Lake Success, New York",False
Brown & Brown,Insurance Brokers,"Daytona Beach, Florida",False
Brown–Forman,Distillers & Vintners,"Louisville, Kentucky",False
Builders FirstSource,Building Products,"Irving, Texas",False
Bunge Global SA,Agricultural Products & Services,"Chesterfield, Missouri",False
Caesars Entertainment,Casinos & Gaming,"Reno, Nevada",False
Campbell Soup Company,Packaged Foods & Meats,"Camden, New Jersey",False
Capital One,Consumer Finance,"Tysons Corner, Virginia",False
Cardinal Health,Health Care Distributors,"Dublin, Ohio",False
CarMax,Automotive Retail,"Richmond, Virginia",False
Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida",False
Carrier Global,Building Products,"Palm Beach Gardens, Florida",False
Catalent,Pharmaceuticals,"Somerset, New Jersey",False
Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",False
Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois",False
CBRE Group,Real Estate Services,"Dallas, Texas",False
CDW,Technology Distributors,"Vernon Hills, Illinois",False
Celanese,Specialty Chemicals,"Irving, Texas",False
Cencora,Health Care Distributors,"Conshohocken, Pennsylvania",False
Centene Corporation,Managed Health Care,"St. Louis, Missouri",False
CenterPoint Energy,Multi-Utilities,"Houston, Texas",False
CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",False
CH Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota",False
Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts",False
Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas",False
Charter Communications,Cable & Satellite,"Stamford, Connecticut",False
Chevron Corporation,Integrated Oil & Gas,"San Ramon, California",False
Chipotle Mexican Grill,Restaurants,"Newport Beach, California",False
Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland",False
Church & Dwight,Household Products,"Ewing, New Jersey",False
Cigna,Health Care Services,"Bloomfield, Connecticut",False
Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio",False
Cintas,Diversified Support Services,"Mason, Ohio",False
Cisco,Communications Equipment,"San Jose, California",False
Citigroup,Diversified Banks,"New York City, New York",False
Citizens Financial Group,Regional Banks,"Providence, Rhode Island",False
Clorox,Household Products,"Oakland, California",False
CME Group,Financial Exchanges & Data,"Chicago, Illinois",False
CMS Energy,Multi-Utilities,"Jackson, Michigan",False
Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",False
