Security,GICS Sub-Industry,Headquarters Location
3M,Industrial Conglomerates,"Saint Paul, Minnesota"
A. O. Smith,Building Products,"Milwaukee, Wisconsin"
Abbott,Health Care Equipment,"North Chicago, Illinois"
AbbVie,Biotechnology,"North Chicago, Illinois"
Accenture,IT Consulting & Other Services,"Dublin, Ireland"
Adobe Inc.,Application Software,"San Jose, California"
Advanced Micro Devices,Semiconductors,"Santa Clara, California"
AES Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia"
Aflac,Life & Health Insurance,"Columbus, Georgia"
Agilent Technologies,Life Sciences Tools & Services,"Santa Clara, California"
Air Products and Chemicals,Industrial Gases,"Allentown, Pennsylvania"
Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California"
Akamai,Internet Services & Infrastructure,"Cambridge, Massachusetts"
Albemarle Corporation,Specialty Chemicals,"Charlotte, North Carolina"
Alexandria Real Estate Equities,Office REITs,"Pasadena, California"
Align Technology,Health Care Supplies,"Tempe, Arizona"
Allegion,Building Products,"Dublin, Ireland"
Alliant Energy,Electric Utilities,"Madison, Wisconsin"
Allstate,Property & Casualty Insurance,"Northbrook, Illinois"
Alphabet Inc. (Class A),Interactive Media & Services,"Mountain View, California"
Alphabet Inc. (Class C),Interactive Media & Services,"Mountain View, California"
Altria,Tobacco,"Richmond, Virginia"
Amazon,Broadline Retail,"Seattle, Washington"
Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom"
Ameren,Multi-Utilities,"St. Louis, Missouri"
American Airlines Group,Passenger Airlines,"Fort Worth, Texas"
American Electric Power,Electric Utilities,"Columbus, Ohio"
American Express,Consumer Finance,"New York City, New York"
American International Group,Multi-line Insurance,"New York City, New York"
American Tower,Telecom Tower REITs,"Boston, Massachusetts"
American Water Works,Water Utilities,"Camden, New Jersey"
Ameriprise Financial,Asset Management & Custody Banks,"Minneapolis, Minnesota"
Ametek,Electrical Components & Equipment,"Berwyn, Pennsylvania"
Amgen,Biotechnology,"Thousand Oaks, California"
Amphenol,Electronic Components,"Wallingford, Connecticut"
Analog Devices,Semiconductors,"Wilmington, Massachusetts"
Ansys,Application Software,"Canonsburg, Pennsylvania"
Aon,Insurance Brokers,"London, UK"
APA Corporation,Oil & Gas Exploration & Production,"Houston, Texas"
Apple Inc.,"Technology Hardware, Storage & Peripherals","Cupertino, California"
Applied Materials,Semiconductor Materials & Equipment,"Santa Clara, California"
Aptiv,Automotive Parts & Equipment,"Dublin, Ireland"
Arch Capital Group,Property & Casualty Insurance,"Hamilton, Bermuda"
Archer-Daniels-Midland,Agricultural Products & Services,"Chicago, Illinois"
Arista Networks,Communications Equipment,"Santa Clara, California"
Arthur J. Gallagher & Co.,Insurance Brokers,"Rolling Meadows, Illinois"
Assurant,Multi-line Insurance,"Atlanta, Georgia"
AT&T,Integrated Telecommunication Services,"Dallas, Texas"
Atmos Energy,Gas Utilities,"Dallas, Texas"
Autodesk,Application Software,"San Francisco, California"
Automatic Data Processing,Human Resource & Employment Services,"Roseland, New Jersey"
AutoZone,Automotive Retail,"Memphis, Tennessee"
AvalonBay Communities,Multi-Family Residential REITs,"Arlington, Virginia"
Avery Dennison,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio"
Axon Enterprise,Aerospace & Defense,"Scottsdale, Arizona"
Baker Hughes,Oil & Gas Equipment & Services,"Houston, Texas"
Ball Corporation,"Metal, Glass & Plastic Containers","Broomfield, Colorado"
Bank of America,Diversified Banks,"Charlotte, North Carolina"
Bank of New York Mellon,Asset Management & Custody Banks,"New York City, New York"
"Bath & Body Works, Inc.",Other Specialty Retail,"Columbus, Ohio"
Baxter International,Health Care Equipment,"Deerfield, Illinois"
Becton Dickinson,Health Care Equipment,"Franklin Lakes, New Jersey"
Berkshire Hathaway,Multi-Sector Holdings,"Omaha, Nebraska"
Best Buy,Computer & Electronics Retail,"Richfield, Minnesota"
Bio-Rad,Life Sciences Tools & Services,"Hercules, California"
Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota"
Biogen,Biotechnology,"Cambridge, Massachusetts"
BlackRock,Asset Management & Custody Banks,"New York City, New York"
Blackstone,Asset Management & Custody Banks,"New York City, New York"
Boeing,Aerospace & Defense,"Arlington, Virginia"
Booking Holdings,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut"
BorgWarner,Automotive Parts & Equipment,"Auburn Hills, Michigan"
Boston Properties,Office REITs,"Boston, Massachusetts"
Boston Scientific,Health Care Equipment,"Marlborough, Massachusetts"
Bristol Myers Squibb,Pharmaceuticals,"New York City, New York"
Broadcom Inc.,Semiconductors,"Palo Alto, California"
Broadridge Financial Solutions,Data Processing & Outsourced Services,"Lake Success, New York"
Brown & Brown,Insurance Brokers,"Daytona Beach, Florida"
Brown–Forman,Distillers & Vintners,"Louisville, Kentucky"
Builders FirstSource,Building Products,"Irving, Texas"
Bunge Global SA,Agricultural Products & Services,"Chesterfield, Missouri"
Cadence Design Systems,Application Software,"San Jose, California"
Caesars Entertainment,Casinos & Gaming,"Reno, Nevada"
Camden Property Trust,Multi-Family Residential REITs,"Houston, Texas"
Campbell Soup Company,Packaged Foods & Meats,"Camden, New Jersey"
Capital One,Consumer Finance,"Tysons Corner, Virginia"
Cardinal Health,Health Care Distributors,"Dublin, Ohio"
CarMax,Automotive Retail,"Richmond, Virginia"
Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida"
Carrier Global,Building Products,"Palm Beach Gardens, Florida"
Catalent,Pharmaceuticals,"Somerset, New Jersey"
Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas"
Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois"
CBRE Group,Real Estate Services,"Dallas, Texas"
CDW,Technology Distributors,"Vernon Hills, Illinois"
Celanese,Specialty Chemicals,"Irving, Texas"
Cencora,Health Care Distributors,"Conshohocken, Pennsylvania"
Centene Corporation,Managed Health Care,"St. Louis, Missouri"
CenterPoint Energy,Multi-Utilities,"Houston, Texas"
CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
CH Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota"
Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts"
Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas"
Charter Communications,Cable & Satellite,"Stamford, Connecticut"
Chevron Corporation,Integrated Oil & Gas,"San Ramon, California"
Chipotle Mexican Grill,Restaurants,"Newport Beach, California"
Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland"
Church & Dwight,Household Products,"Ewing, New Jersey"
Cigna,Health Care Services,"Bloomfield, Connecticut"
Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio"
Cintas,Diversified Support Services,"Mason, Ohio"
Cisco,Communications Equipment,"San Jose, California"
Citigroup,Diversified Banks,"New York City, New York"
Citizens Financial Group,Regional Banks,"Providence, Rhode Island"
Clorox,Household Products,"Oakland, California"
CME Group,Financial Exchanges & Data,"Chicago, Illinois"
CMS Energy,Multi-Utilities,"Jackson, Michigan"
Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia"
Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey"
Colgate-Palmolive,Household Products,"New York City, New York"
Comcast,Cable & Satellite,"Philadelphia, Pennsylvania"
Comerica,Diversified Banks,"Dallas, Texas"
Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois"
ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas"
Consolidated Edison,Multi-Utilities,"New York City, New York"
Constellation Brands,Distillers & Vintners,"Victor, New York"
Constellation Energy,Electric Utilities,"Baltimore, Maryland"
CooperCompanies,Health Care Supplies,"San Ramon, California"
Copart,Diversified Support Services,"Dallas, Texas"
